"X1"	"X2"	"X3"	"X4"	"X5"	"X6"	"X7"	"X8"	"X9"	"X10"	"X11"
"ENSG00000198879.11 chr10_8397782"	-1	0.977603276026405	0.992659175661593	0.989339625558921	0.933377944122538	0.934700189190026	0.988768333312918	0.686979070831665	0.98205195924732	0.830781843193707	0.903216813594309
"ENSG00000119723.16 chr14_74122015"	0.010266868083239	0.220216061080294	0.823663094333454	0.818296122335905	0.619015557729647	0.735074383731189	0.958214874614094	0.849546277970188	0.393263761802922	0.863970226284547	0.928226709146628
"ENSG00000135250.16 chr7_104535857"	-1	0.937048010594212	0.893635762134938	0.885639120918948	0.849156548992045	0.964220939056741	0.956294080645499	0.715033051621488	0.508914588728192	0.0281345730532973	0.876693363363587
"ENSG00000162604.12 chr1_62695296"	-1	0.882183705138593	0.685933823945607	0.961856523803789	0.972792988884176	0.908926889528415	0.975518980108323	0.800636771743477	0.824622731343728	0.828690958960469	0.900290632173228
"ENSG00000204480.7 chr1_13383614"	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
"ENSG00000110801.13 chr12_121063321"	-1	0.0695027171696197	0.789854744208499	0.543968106820494	0.0319735167792384	0.900183618852371	0.6955232463579	0.472770574494136	0.0114670078061843	0.246374567497464	0.704403180286027
"ENSG00000198944.5 chr5_133478654"	-1	0.992264561899035	0.961856523803789	0.993068181134723	0.858110710150032	-1	0.925375962345358	0.749722863811882	-1	-1	0.890775605279864
"ENSG00000226490.1 chr8_140548835"	-1	-1	-1	-1	0.985969591366645	-1	-1	0.995110399569015	-1	-1	-1
"ENSG00000168785.7 chr4_98656561"	-1	0.895473707156999	0.961278115523088	0.971975943640414	0.874962279141934	0.724877458967633	0.872199284559796	0.876693363363587	0.852006988947714	0.90264745409854	0.800949141748744
"ENSG00000166387.11 chr11_7831878"	-1	0.821822848929216	0.683644807466322	0.922734052508882	0.942483776686004	0.748762366129763	0.986619831913479	0.901697179902246	0.974159608427567	0.820509937144774	0.965128036848894
"ENSG00000071909.18 chr2_170249374"	-1	-1	-1	0.00238550849752418	0.0418081779404604	-1	-1	-1	-1	0.854060578030666	-1
"ENSG00000111344.11 chr12_112330014"	-1	0.816225307175216	0.899490254148284	0.851220231764353	0.789854744208499	0.88378128316494	0.907715647437948	0.897907512787535	-1	0.876693363363587	0.577113197253906
"ENSG00000106799.12 chr9_98376757"	-1	0.933859876471591	0.867282915918262	0.888918204632734	0.73658902902932	0.982631812748491	0.995110399569015	0.961856523803789	0.89770389932929	0.956509139217765	0.986077413798329
"ENSG00000171056.7 chr8_10362085"	0.752597784449419	0.741997636930974	0.584818499710515	0.863136753821387	0.930064977690578	0.992997797548392	0.990250543939164	0.985525528407411	0.895627972707791	0.88286148728564	0.936324794280789
"ENSG00000136250.11 chr7_36537441"	0.660877325699991	0.885639120918948	0.967003909773803	0.91148812729075	0.915632861314927	0.382296076910556	0.748158573746165	0.763911414773372	0.925375962345358	0.874898161321843	0.908926889528415
"ENSG00000180332.6 chr13_45693125"	-1	0.895641930889555	0.874319400205532	-1	0.995939154982833	-1	-1	0.806452234282224	0.990250543939164	-1	0.644684842910053
"ENSG00000151062.14 chr12_1677323"	-1	0.917472509770775	0.673595244845806	0.830781843193707	0.338492001944989	0.992442222651878	0.999057113340791	0.787400597888758	0.866169011830352	0.895473707156999	0.391372338944041
"ENSG00000173894.10 chr17_79812101"	-1	0.97305047733174	0.995939154982833	0.233646382943664	0.803421199803229	0.787444995250796	0.704403180286027	0.971752768551555	0.997555618295349	0.869536449120522	0.940512301999548
"ENSG00000274386.5 chr1_43120047"	0.923113922643163	0.993653694999187	0.895473707156999	0.96031267399407	0.992955258710497	0.979016217248618	0.899490254148284	0.932159656253118	-1	0.822669702504652	0.975365329311094
"ENSG00000135919.12 chr2_224239223"	-1	0.912479796553009	0.687005635683905	0.52657721263449	0.619083577690355	0.0554833567743995	0.943071898141254	0.826792188272922	0.491612484756386	0.518357893823946	0.870740829023653
"ENSG00000181322.13 chr3_137352184"	-1	0.990250543939164	0.770100076372779	0.982286220068405	0.862170444295157	0.569453211081025	0.998505594971526	0.988926684014723	0.779090969068549	0.651401243410061	0.726823181516106
"ENSG00000214753.2 chr11_62662453"	0.468309499532601	0.594952238939196	0.990250543939164	0.549283130845098	0.826146764717621	0.881828638127972	0.922734052508882	0.964891098100747	0.645050724166153	0.999492377858647	0.999057113340791
"ENSG00000112077.15 chr6_50297012"	0.999057113340791	0.961856523803789	-1	0.890272265883258	0.364085081206131	0.958178558079337	0.63609050661734	-1	0.808965794810014	0.976595544785516	0.956878035192192
"ENSG00000168000.14 chr11_62607403"	0.676042975508096	0.167458757870232	0.812552289861488	0.0403907323753521	0.00239777437893056	0.0048763584452872	0.034841301024875	0.894341961421785	0.291622449277034	0.0591681623499929	0.176446158742433
"ENSG00000100575.13 chr14_58960865"	-1	0.54369126605385	0.828100571208029	0.909606828990915	0.985178903057405	0.853713008012065	0.010216751372128	0.902438026184869	0.315504413261944	0.745892125921042	0.701454046139609
"ENSG00000119913.4 chr10_112281486"	-1	-1	-1	-1	-1	-1	-1	0.00640139543508403	-1	-1	-1
"ENSG00000136478.7 chr17_64150249"	0.808825082545116	0.552665123423119	0.212126199617262	0.673172356197292	0.89265132805955	0.93923274305916	0.885639120918948	0.848606413207257	0.979016217248618	0.925375962345358	0.999057113340791
"ENSG00000010292.12 chr12_7355061"	0.952940038667068	0.923458393951352	0.973454377594685	0.995672007566708	0.730583188962919	0.969705954753353	0.895473707156999	0.95350496346354	0.972792988884176	0.896993763215974	0.877943206192981
"ENSG00000136100.12 chr13_52079348"	-1	0.96694222615161	0.327179832464554	0.867175152871224	0.844328611158575	0.985525528407411	0.998505594971526	0.551685066682096	0.949623811871745	0.964019019098387	0.760429022978201
"ENSG00000196911.10 chr6_116900429"	-1	0.983291372583776	0.680184764486305	0.368350137954081	0.974159608427567	0.684253947515115	0.77866123252714	0.975209545183885	0.644883440305833	0.896258702712022	0.995754836232847
"ENSG00000131368.7 chr3_14557735"	-1	0.743072412729941	0.908549769024401	0.922734052508882	0.671374866353327	0.679488545887823	0.94971221089322	0.534704255576109	0.908926889528415	0.576454107031757	0.176446158742433
"ENSG00000148229.12 chr9_114133569"	-1	0.88868831856441	0.795984544052056	0.594952238939196	0.950417022876914	0.370678362577297	0.669664281163025	0.97523885536422	0.965843483004059	0.943035898829278	0.832575714522391
"ENSG00000164099.3 chr4_118745310"	-1	0.923057022466992	0.436852157847136	0.956218365019108	0.0653958158724565	-1	0.973725290536698	0.985178903057405	-1	0.874037969731866	0.70336662446742
"ENSG00000149929.15 chr16_30109032"	0.57805886206307	0.949689600218322	0.877943206192981	0.468309499532601	0.858110710150032	0.755636556766457	0.961278115523088	0.894686341194048	0.691660165804121	0.73658902902932	0.990578458082897
"ENSG00000108443.13 chr17_59982791"	0.509690612710441	0.906025099873857	0.789550509414238	0.623304583250615	0.539837512827371	0.238441747430929	0.965249451235816	0.768638776736339	0.902160209420081	0.862353481984977	0.451592526038888
"ENSG00000186335.8 chr5_151104809"	-1	-1	-1	-1	3.64146783435128e-14	-1	-1	-1	-1	-1	-1
"ENSG00000169330.8 chr15_79888571"	0.946489511258931	0.826773891857531	0.817879323695633	0.877943206192981	0.860278580329733	0.880738530289726	0.752123175312724	0.971182899525306	0.407896846927951	0.998169398696068	0.982631812748491
"ENSG00000183208.12 chr15_91032082"	-1	0.937048010594212	0.999788053313508	0.988153901292653	0.411565591402105	0.930094011176527	0.992997797548392	0.897361889636286	0.777374368002173	0.740154904905361	0.972670012008733
"ENSG00000095209.11 chr9_105708676"	0.182426251230492	0.956509139217765	0.501731867467678	0.733513672250501	0.118628724862135	0.995441538583688	0.860495448181349	0.553980771959902	0.46530003289849	0.786830884235678	0.901697179902246
"ENSG00000174516.14 chr11_65682432"	0.226215192075011	0.676613012981554	0.612783600560841	0.665056268496685	0.436220444176367	0.685933823945607	0.98205195924732	0.620526103569049	0.856302995778092	0.941468259682234	0.787258327528381
"ENSG00000138756.17 chr4_78725008"	-1	0.808815104401487	0.925375962345358	0.621251839041688	0.134419487719189	0.261072678688295	0.125138120847862	0.817515307288176	0.977098331841347	0.847175968818002	0.826792188272922
"ENSG00000185745.9 chr10_89065901"	0.0403907323753521	0.095834703813861	0.539837512827371	0.182877954304546	0.282257784672681	0.564014951652854	0.139841783005731	0.454360942236392	0.993068181134723	0.421765915258326	0.479230459296761
"ENSG00000167656.4 chr8_142998862"	-1	0.836016148103153	0.983161228794559	0.774727948342301	0.962619294279342	0.990250543939164	0.585989455443587	0.882489686144671	0.66704826483551	0.245387710422421	0.856830688038845
"ENSG00000182040.8 chr17_75563360"	-1	-1	0.866137304865972	0.789550509414238	0.226772132992949	-1	-1	-1	0.671374866353327	-1	-1
